Date ,Open,High,Low,Close,Volume
25-Aug-04,"1,198.70","1,198.70",979,987.95,"1,71,16,372"
26-Aug-04,992,997,975.3,979,"50,55,400"
27-Aug-04,982.4,982.4,958.55,962.65,"38,30,750"
30-Aug-04,969.9,990,965,986.75,"30,58,151"
31-Aug-04,986.5,990,976,988.1,"26,49,332"
01-Sep-04,990,995,983.6,987.9,"24,91,943"
02-Sep-04,989.9,"1,004.60",986,993.65,"26,69,544"
03-Sep-04,"1,006.00","1,100.00",990.35,997.85,"12,33,732"
06-Sep-04,"1,039.90","1,039.90",992.9,994.85,"11,29,834"
07-Sep-04,"1,035.00","1,035.00",995,995.6,"7,21,529"
08-Sep-04,996,"1,000.80",991.1,993.7,"8,24,248"
09-Sep-04,997,997.9,978.45,979.95,"9,93,398"
10-Sep-04,990,990,976,988.8,"8,01,884"
13-Sep-04,991,"1,015.50",991,"1,003.50","26,13,114"
14-Sep-04,"1,005.00","1,018.80","1,002.95","1,015.65","19,16,934"
15-Sep-04,"1,018.00","1,020.00","1,001.20","1,006.10","14,98,536"
16-Sep-04,"1,007.00","1,015.00","1,002.50","1,008.45","9,19,778"
17-Sep-04,"1,012.00","1,029.90","1,010.30","1,024.50","18,28,487"
20-Sep-04,"1,032.40","1,036.90","1,020.15","1,022.90","10,69,028"
21-Sep-04,"1,024.85","1,048.50","1,022.00","1,045.80","17,37,135"
22-Sep-04,"1,048.40","1,056.00","1,037.10","1,052.05","19,21,448"
23-Sep-04,"1,048.00","1,049.00","1,027.00","1,030.25","19,77,460"
24-Sep-04,"1,029.10","1,040.00","1,026.00","1,028.80","10,10,401"
27-Sep-04,"1,027.50","1,032.50","1,015.00","1,020.75","10,28,689"
28-Sep-04,"1,016.00","1,027.40","1,012.50","1,015.55","7,92,427"
29-Sep-04,"1,019.25","1,033.00","1,016.15","1,031.00","14,67,147"
30-Sep-04,"1,035.60","1,040.90","1,020.65","1,027.10","15,65,179"
01-Oct-04,"1,029.00","1,056.45","1,026.35","1,047.70","13,71,111"
04-Oct-04,"1,057.00","1,081.00","1,054.45","1,076.50","18,91,228"
05-Oct-04,"1,080.30","1,089.00","1,075.50","1,080.70","17,92,661"
06-Oct-04,"1,081.00","1,102.80","1,075.05","1,081.60","22,08,833"
07-Oct-04,"1,083.00","1,100.00","1,083.00","1,097.10","12,60,016"
08-Oct-04,"1,098.00","1,111.00","1,095.00","1,098.05","10,69,865"
09-Oct-04,"1,099.90","1,103.85","1,094.25","1,100.65","2,58,539"
11-Oct-04,"1,100.00","1,111.50","1,085.00","1,089.30","11,66,507"
12-Oct-04,"1,110.00","1,115.00","1,077.65","1,084.45","19,50,064"
14-Oct-04,"1,103.00","1,124.00","1,088.05","1,116.20","24,03,248"
15-Oct-04,"1,121.70","1,141.00","1,117.25","1,126.00","22,24,968"
18-Oct-04,"1,134.00","1,142.00","1,125.25","1,137.25","17,11,668"
19-Oct-04,"1,140.15","1,148.70","1,136.10","1,143.20","14,70,891"
20-Oct-04,"1,144.80","1,149.90","1,129.00","1,133.25","9,00,854"
21-Oct-04,"1,137.25","1,139.00","1,122.00","1,125.55","8,01,690"
25-Oct-04,"1,125.00","1,127.00","1,110.75","1,117.35","11,73,784"
26-Oct-04,"1,115.60","1,140.95","1,115.60","1,137.20","8,66,595"
27-Oct-04,"1,142.25","1,148.00","1,135.20","1,139.90","9,79,707"
28-Oct-04,"1,145.00","1,174.80","1,145.00","1,165.95","23,23,927"
29-Oct-04,"1,167.95","1,167.95","1,145.15","1,156.25","10,82,722"
01-Nov-04,"1,150.00","1,174.45","1,142.30","1,170.65","7,67,196"
02-Nov-04,"1,130.00","1,179.75","1,125.00","1,159.70","11,08,005"
03-Nov-04,"1,161.00","1,184.00","1,161.00","1,175.20","11,22,267"
