"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Sep-2017","EQ","2,480.00","2,498.05","2,436.55","2,496.35","2,460.60","2,456.45","2,452.84","2,708.95","2,051.90","8,51,165","2,08,77,70,465.35","40,185"
"31-Aug-2017","EQ","2,485.00","2,504.40","2,466.65","2,484.55","2,498.00","2,496.35","2,489.91","2,708.95","2,051.90","8,92,332","2,22,18,30,190.80","47,192"
"30-Aug-2017","EQ","2,481.00","2,490.00","2,460.10","2,470.85","2,485.00","2,484.55","2,478.46","2,708.95","2,051.90","4,85,391","1,20,30,20,937.15","24,262"
"29-Aug-2017","EQ","2,482.00","2,496.00","2,463.95","2,487.30","2,475.05","2,470.85","2,472.97","2,708.95","2,051.90","6,56,301","1,62,30,10,550.65","23,498"
"28-Aug-2017","EQ","2,504.60","2,505.40","2,461.00","2,496.60","2,491.00","2,487.30","2,479.76","2,708.95","2,051.90","10,18,398","2,52,53,78,754.95","54,931"
"24-Aug-2017","EQ","2,497.70","2,517.95","2,486.15","2,489.45","2,498.05","2,496.60","2,495.82","2,708.95","2,051.90","8,11,954","2,02,64,87,435.65","42,614"
"23-Aug-2017","EQ","2,505.00","2,516.80","2,473.15","2,497.55","2,491.60","2,489.45","2,487.52","2,708.95","2,051.90","7,81,136","1,94,30,93,967.15","39,129"
"22-Aug-2017","EQ","2,523.00","2,539.50","2,492.00","2,528.80","2,500.00","2,497.55","2,516.08","2,708.95","2,051.90","5,65,663","1,42,32,51,637.70","35,029"
"21-Aug-2017","EQ","2,505.50","2,549.00","2,494.30","2,513.80","2,513.20","2,528.80","2,534.62","2,708.95","2,051.90","11,52,417","2,92,09,41,547.70","54,265"
"18-Aug-2017","EQ","2,474.00","2,549.90","2,471.40","2,485.65","2,515.00","2,513.80","2,520.86","2,740.00","2,051.90","14,18,678","3,57,62,81,721.80","77,980"
"17-Aug-2017","EQ","2,500.70","2,505.00","2,462.10","2,492.35","2,485.55","2,485.65","2,480.04","2,740.00","2,051.90","8,76,187","2,17,29,77,684.80","40,452"
"16-Aug-2017","EQ","2,484.00","2,543.80","2,465.20","2,469.40","2,490.15","2,492.35","2,487.66","2,740.00","2,051.90","6,86,670","1,70,82,02,481.35","44,396"
"14-Aug-2017","EQ","2,503.00","2,509.90","2,463.00","2,496.05","2,468.00","2,469.40","2,487.26","2,740.00","2,051.90","3,93,252","97,81,20,247.85","29,766"
"11-Aug-2017","EQ","2,499.90","2,535.00","2,483.00","2,511.45","2,492.65","2,496.05","2,503.79","2,744.80","2,051.90","6,97,368","1,74,60,60,388.35","41,945"
"10-Aug-2017","EQ","2,509.00","2,520.60","2,486.35","2,512.00","2,520.00","2,511.45","2,499.22","2,744.80","2,051.90","7,63,086","1,90,71,16,797.30","37,900"
"09-Aug-2017","EQ","2,500.00","2,522.85","2,493.30","2,503.05","2,508.35","2,512.00","2,511.32","2,744.80","2,051.90","4,96,473","1,24,68,03,081.55","33,860"
"08-Aug-2017","EQ","2,512.00","2,528.60","2,496.30","2,503.45","2,500.15","2,503.05","2,507.64","2,744.80","2,051.90","5,36,979","1,34,65,50,397.15","24,609"
"07-Aug-2017","EQ","2,516.50","2,520.00","2,481.20","2,522.80","2,507.40","2,503.45","2,491.28","2,744.80","2,051.90","9,42,760","2,34,86,82,444.05","29,848"
"04-Aug-2017","EQ","2,490.80","2,528.30","2,488.00","2,489.45","2,525.00","2,522.80","2,510.86","2,744.80","2,051.90","6,93,945","1,74,23,96,091.90","31,371"
"03-Aug-2017","EQ","2,480.00","2,502.00","2,466.45","2,473.80","2,490.05","2,489.45","2,486.75","2,744.80","2,051.90","9,41,274","2,34,07,09,563.50","39,294"
"02-Aug-2017","EQ","2,500.00","2,508.00","2,462.00","2,501.65","2,475.00","2,473.80","2,484.51","2,744.80","2,051.90","6,25,512","1,55,40,89,626.75","44,731"
"01-Aug-2017","EQ","2,500.00","2,520.75","2,491.00","2,491.80","2,495.15","2,501.65","2,502.14","2,744.80","2,051.90","8,73,730","2,18,61,95,097.35","42,188"
"31-Jul-2017","EQ","2,471.00","2,519.00","2,463.00","2,484.30","2,494.95","2,491.80","2,490.03","2,744.80","2,051.90","10,09,831","2,51,45,10,450.40","59,801"
"28-Jul-2017","EQ","2,481.00","2,493.05","2,442.00","2,481.70","2,484.95","2,484.30","2,467.41","2,744.80","2,051.90","6,91,376","1,70,59,08,234.75","55,534"
"27-Jul-2017","EQ","2,542.20","2,584.80","2,466.50","2,556.00","2,477.00","2,481.70","2,499.85","2,744.80","2,051.90","21,27,652","5,31,88,05,858.45","58,582"
"26-Jul-2017","EQ","2,560.00","2,575.00","2,547.00","2,571.50","2,552.00","2,556.00","2,559.66","2,744.80","2,051.90","7,29,913","1,86,83,29,653.30","38,234"
"25-Jul-2017","EQ","2,525.75","2,580.00","2,518.40","2,530.70","2,579.00","2,571.50","2,552.41","2,744.80","2,051.90","13,39,416","3,41,87,36,144.50","93,466"
"24-Jul-2017","EQ","2,482.00","2,540.00","2,482.00","2,491.20","2,535.00","2,530.70","2,519.47","2,744.80","2,051.90","11,35,701","2,86,13,64,170.30","68,968"
"21-Jul-2017","EQ","2,434.90","2,500.00","2,434.55","2,444.70","2,496.00","2,491.20","2,473.18","2,744.80","2,051.90","10,74,208","2,65,67,04,863.20","64,460"
"20-Jul-2017","EQ","2,449.25","2,456.90","2,430.50","2,449.60","2,437.00","2,444.70","2,441.25","2,744.80","2,051.90","5,91,252","1,44,33,93,893.90","23,307"
"19-Jul-2017","EQ","2,415.50","2,460.00","2,415.10","2,408.35","2,449.25","2,449.60","2,442.01","2,744.80","2,051.90","19,57,788","4,78,09,43,652.55","87,419"
"18-Jul-2017","EQ","2,396.15","2,443.00","2,396.15","2,395.45","2,415.10","2,408.35","2,418.05","2,744.80","2,051.90","9,54,001","2,30,68,23,902.80","67,981"
"17-Jul-2017","EQ","2,397.70","2,422.10","2,382.20","2,397.45","2,397.10","2,395.45","2,402.63","2,744.80","2,051.90","11,05,911","2,65,70,95,372.05","49,251"
"14-Jul-2017","EQ","2,383.00","2,425.00","2,375.00","2,446.40","2,399.10","2,397.45","2,396.18","2,744.80","2,051.90","22,54,216","5,40,14,99,336.35","95,561"
"13-Jul-2017","EQ","2,445.00","2,472.00","2,426.60","2,439.45","2,439.00","2,446.40","2,449.50","2,744.80","2,051.90","15,65,980","3,83,58,73,018.25","64,700"
"12-Jul-2017","EQ","2,482.50","2,483.30","2,430.10","2,475.80","2,441.00","2,439.45","2,453.34","2,744.80","2,051.90","13,23,225","3,24,63,16,255.30","62,259"
"11-Jul-2017","EQ","2,426.00","2,514.80","2,426.00","2,434.95","2,482.50","2,475.80","2,478.13","2,744.80","2,051.90","17,68,752","4,38,31,94,952.65","96,054"
"10-Jul-2017","EQ","2,341.00","2,444.90","2,341.00","2,331.95","2,435.00","2,434.95","2,426.54","2,744.80","2,051.90","3,98,392","96,67,14,360.85","12,486"
"07-Jul-2017","EQ","2,350.00","2,356.45","2,325.50","2,347.55","2,332.00","2,331.95","2,343.49","2,744.80","2,051.90","6,16,045","1,44,36,97,742.70","52,731"
"06-Jul-2017","EQ","2,359.00","2,361.90","2,340.10","2,356.00","2,350.05","2,347.55","2,348.75","2,744.80","2,051.90","5,13,394","1,20,58,34,807.35","26,826"
"05-Jul-2017","EQ","2,360.80","2,365.00","2,345.00","2,366.85","2,358.00","2,356.00","2,354.42","2,744.80","2,051.90","4,07,928","96,04,33,302.45","22,153"
