Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
28-Aug-09,EQ,545.75,550,531.1,547.75,540.4,540.8,538.2,874.4,358,"22,81,568","1,22,79,36,214.35",-
27-Aug-09,EQ,550,566,541,548.5,549.7,547.75,549.59,874.4,358,"51,15,464","2,81,14,23,385.05",-
26-Aug-09,EQ,526.7,555,526.55,528.3,549.5,548.5,547.85,874.4,358,"44,26,312","2,42,49,46,796.35",-
25-Aug-09,EQ,518,531,514.1,521.55,526.4,528.3,524.26,874.4,358,"27,64,649","1,44,93,97,672.90",-
24-Aug-09,EQ,515.95,525.85,513.55,509.25,521,521.55,519.89,874.4,358,"21,03,602","1,09,36,46,928.10",-
21-Aug-09,EQ,502,512.5,495,501,512,509.25,505.6,874.4,358,"34,64,511","1,75,16,70,726.05",-
20-Aug-09,EQ,504.9,508.4,498.1,498.05,500,501,502.33,874.4,358,"18,30,480","91,95,06,934.25",-
19-Aug-09,EQ,512.8,514.7,494,508.85,497.25,498.05,500.88,874.4,358,"28,01,685","1,40,33,11,945.00",-
18-Aug-09,EQ,505,514.85,499.5,510.15,509.7,508.85,506.79,874.4,358,"40,74,922","2,06,51,13,729.75",-
17-Aug-09,EQ,516.8,517.5,505.25,521.5,511.5,510.15,509.99,874.4,358,"29,81,410","1,52,04,78,481.25",-
14-Aug-09,EQ,530,530,518,526.75,522.05,521.5,522.07,874.4,358,"25,75,907","1,34,48,05,522.95",-
13-Aug-09,EQ,534.4,534.4,519.6,519.65,527,526.75,526.53,874.4,358,"50,16,964","2,64,15,94,730.05",-
12-Aug-09,EQ,535,536,511,541.9,519.5,519.65,521.06,874.4,358,"56,63,268","2,95,08,92,928.85",-
11-Aug-09,EQ,537.5,558,534.1,539.05,543.15,541.9,547.17,874.4,358,"44,21,740","2,41,94,40,836.25",-
10-Aug-09,EQ,515.15,551.75,514,509.1,536,539.05,537.33,874.4,358,"53,11,988","2,85,42,88,625.65",-
07-Aug-09,EQ,516.6,521.95,506.1,517.4,508.55,509.1,513.2,874.4,358,"22,76,333","1,16,82,13,094.85",-
06-Aug-09,EQ,529,534.4,514.2,529,517,517.4,526.81,874.4,358,"20,89,374","1,10,07,09,674.90",-
05-Aug-09,EQ,529.5,536.95,507.55,530.15,530,529,529.74,874.4,358,"32,12,005","1,70,15,36,671.25",-
04-Aug-09,EQ,520.5,541.2,520.5,531.65,530.5,530.15,532.5,874.4,358,"27,40,646","1,45,93,80,559.10",-
03-Aug-09,EQ,530,534.85,521.1,525.95,534.1,531.65,528.7,874.4,358,"17,60,274","93,06,62,524.25",-
31-Jul-09,EQ,539,540,521.4,533.1,524.7,525.95,532.24,874.4,358,"28,17,483","1,49,95,81,385.55",-
30-Jul-09,EQ,505.25,545,490.25,499.8,533.8,533.1,522.95,874.4,358,"78,36,241","4,09,79,40,854.10",-
29-Jul-09,EQ,480,504.7,475,480.65,499.5,499.8,491.27,874.4,358,"55,36,075","2,71,97,11,998.00",-
28-Jul-09,EQ,484.35,484.95,471.3,480.3,481.5,480.65,478.27,874.4,358,"31,67,492","1,51,49,12,149.55",-
27-Jul-09,EQ,482,488.95,477.1,482,479,480.3,483.16,874.4,358,"23,26,169","1,12,39,04,043.30",-
24-Jul-09,EQ,490,490,476,475.65,484.55,482,480.63,874.5,358,"39,54,661","1,90,07,16,873.55",-
23-Jul-09,EQ,471,482.9,470,466.3,475.85,475.65,476.59,874.5,358,"38,31,339","1,82,59,76,718.30",-
22-Jul-09,EQ,483.7,485,452.3,477.6,465.75,466.3,470.69,874.5,358,"53,37,345","2,51,22,43,899.20",-
21-Jul-09,EQ,503,513.15,474.05,500.55,474.95,477.6,484.43,874.5,358,"65,02,910","3,15,02,20,165.30",-
20-Jul-09,EQ,445,514.9,445,434.1,500.6,500.55,495.38,874.5,358,"1,72,69,768","8,55,51,75,101.75",-
17-Jul-09,EQ,421.4,445.75,421,419.8,433.3,434.1,435.5,874.5,358,"45,47,478","1,98,04,38,639.85",-
16-Jul-09,EQ,428,434.8,413.2,423.15,423,419.8,419.09,874.5,358,"37,98,438","1,59,18,87,556.50",-
15-Jul-09,EQ,410.9,427.3,410,406.95,423.3,423.15,416.27,874.5,358,"22,35,047","93,03,74,956.90",-
14-Jul-09,EQ,405,411.1,400.4,397.5,408.75,406.95,406.28,874.5,358,"22,32,068","90,68,40,734.30",-
13-Jul-09,EQ,390,401,388.25,395.15,398.15,397.5,396.02,874.5,358,"25,59,916","1,01,37,86,242.80",-
10-Jul-09,EQ,391,401.45,390,388.15,395,395.15,397.12,943,358,"37,34,374","1,48,29,84,198.65",-
09-Jul-09,EQ,382.1,391.1,371,381.15,388,388.15,384.93,943,358,"19,82,404","76,30,79,930.35",-
08-Jul-09,EQ,388.7,388.9,368.25,389.15,380,381.15,378.12,943,358,"33,47,383","1,26,57,16,815.00",-
07-Jul-09,EQ,384,393.25,380,380.7,387.55,389.15,386.64,943,358,"19,02,284","73,54,94,819.65",-
06-Jul-09,EQ,397,398.45,378.35,390.95,382.15,380.7,385.33,943,358,"22,44,458","86,48,49,945.05",-
03-Jul-09,EQ,385,392.4,385,390,390.95,390.95,389.15,943,358,"14,59,922","56,81,30,312.30",-
02-Jul-09,EQ,390,395.3,381.2,392.95,389,390,386.84,943,358,"18,57,714","71,86,37,468.30",-
01-Jul-09,EQ,387.1,395,382.45,389.85,393.45,392.95,389.79,943,358,"18,42,369","71,81,39,964.55",-
30-Jun-09,EQ,387.5,398,383.15,386.2,390.5,389.85,391.77,943,358,"29,61,974","1,16,03,98,024.45",-
29-Jun-09,EQ,399.85,402,383.35,397.4,385,386.2,390.74,943,358,"23,72,603","92,70,59,145.90",-
26-Jun-09,EQ,382.5,404.4,376.55,380.5,395.8,397.4,388.67,943,358,"30,49,850","1,18,53,91,807.20",-
25-Jun-09,EQ,382,392,370.3,381.75,381,380.5,383.69,943,358,"48,47,331","1,85,98,61,089.10",-
24-Jun-09,EQ,372.95,388.5,360.2,366.65,382,381.75,374.69,943,358,"36,51,977","1,36,83,70,894.65",-
23-Jun-09,EQ,360,377.75,358,369.65,365.7,366.65,368.4,943,358,"25,67,847","94,59,89,019.25",-
22-Jun-09,EQ,384.4,387.8,368,379.8,369,369.65,377.74,943,368,"20,53,104","77,55,45,725.30",-
19-Jun-09,EQ,377,392,375,376.4,375.95,379.8,383.86,943,371.2,"38,63,866","1,48,31,78,471.65",-
18-Jun-09,EQ,378,393,372.05,378.75,377,376.4,381.23,943,371.2,"23,76,554","90,60,19,850.75",-
17-Jun-09,EQ,392,395,375,389.15,379.15,378.75,381.28,943,371.2,"18,70,784","71,32,90,509.40",-
16-Jun-09,EQ,383.3,393.5,371.2,778,391.95,389.15,385.83,943,371.2,"21,72,003","83,80,24,110.20",-
15-Jun-09,EQ,764.7,785,755,764.55,778,778,774.1,943,415.35,"16,48,967","1,27,64,57,665.10",-
12-Jun-09,EQ,785,794.8,761.2,775.1,767.65,764.55,776.69,964.9,415.35,"15,89,665","1,23,46,78,284.40",-
11-Jun-09,EQ,788,792.45,770,781.8,775.5,775.1,778.14,964.9,415.35,"9,70,800","75,54,20,272.15",-
10-Jun-09,EQ,785,805,767.25,782.15,785,781.8,787.83,964.9,415.35,"23,45,949","1,84,82,17,222.35",-
09-Jun-09,EQ,731.1,795,731.1,742.1,780,782.15,771.33,964.9,415.35,"24,22,677","1,86,86,78,184.40",-
08-Jun-09,EQ,724.7,749.75,720,721.35,736,742.1,732.95,964.9,415.35,"23,16,956","1,69,82,02,803.30",-
05-Jun-09,EQ,709,728.7,696.35,707.2,717,721.35,712.48,"1,057.40",415.35,"33,05,033","2,35,47,85,773.50",-
04-Jun-09,EQ,687,709,686.35,696.85,708.05,707.2,702.54,"1,057.40",415.35,"17,55,176","1,23,30,78,835.10",-
03-Jun-09,EQ,690,704.75,683.1,694.75,698.5,696.85,692.95,"1,057.40",415.35,"9,78,736","67,82,15,042.30",-
02-Jun-09,EQ,700,710,690,697.65,692.35,694.75,699.96,"1,057.40",415.35,"10,29,543","72,06,34,010.20",-
01-Jun-09,EQ,673.35,709.85,673.35,704.6,702.45,697.65,697.96,"1,057.40",415.35,"19,76,451","1,37,94,87,221.25",-
29-May-09,EQ,668.75,710,652.65,663.2,697.35,704.6,693.62,"1,057.40",415.35,"34,67,806","2,40,53,35,754.25",-
28-May-09,EQ,623.4,673.9,623.4,648.55,654.3,663.2,660.9,"1,057.40",415.35,"42,15,919","2,78,62,84,090.85",-
27-May-09,EQ,630.8,652,630.8,624.45,645,648.55,641.4,"1,057.40",415.35,"23,05,717","1,47,88,77,166.10",-
26-May-09,EQ,634.95,639.65,620.5,631.35,621.15,624.45,630.31,"1,057.40",415.35,"15,14,725","95,47,43,122.15",-
25-May-09,EQ,636,644,622.65,634.05,632.1,631.35,632.7,"1,057.40",415.35,"14,18,411","89,74,23,216.60",-
22-May-09,EQ,630,645,630,647.45,633.9,634.05,635.74,"1,057.40",415.35,"14,65,364","93,15,95,997.75",-
21-May-09,EQ,670,685,644,676.65,649,647.45,665.78,"1,057.40",415.35,"11,14,831","74,22,33,707.15",-
20-May-09,EQ,670,701.95,663,669.75,680.8,676.65,683.01,"1,057.40",415.35,"21,26,916","1,45,27,05,322.55",-
19-May-09,EQ,750,750,655.6,743.85,667,669.75,682.53,"1,057.40",415.35,"32,53,894","2,22,08,94,775.65",-
18-May-09,EQ,766.6,791.6,695,644.05,740,743.85,746.93,"1,057.40",415.35,"18,345","1,37,02,367.10",-
15-May-09,EQ,624,654.85,624,619.8,649,644.05,643.95,"1,057.40",415.35,"27,35,618","1,76,16,11,094.70",-
14-May-09,EQ,618,627,605.3,621.7,620.05,619.8,619.42,"1,057.40",415.35,"23,60,794","1,46,23,25,695.50",-
13-May-09,EQ,642,644.9,615,641.1,625,621.7,628.68,"1,057.40",415.35,"18,31,200","1,15,12,43,276.35",-
12-May-09,EQ,610,645.8,610,615.25,641.9,641.1,626.31,"1,057.40",415.35,"23,71,863","1,48,55,29,655.00",-
11-May-09,EQ,638.5,639.65,609,630.95,611,615.25,623.1,"1,057.40",415.35,"13,24,653","82,53,92,049.70",-
08-May-09,EQ,628,642,618.5,631.7,630.2,630.95,630.08,"1,057.40",415.35,"22,50,438","1,41,79,66,504.05",-
07-May-09,EQ,636,645,619.3,635.35,628.05,631.7,631.27,"1,057.40",415.35,"19,34,716","1,22,13,29,641.15",-
06-May-09,EQ,638.25,649.7,615,651,633.15,635.35,618.92,"1,057.40",415.35,"1,31,30,524","8,12,67,28,010.40",-
05-May-09,EQ,669,674.95,636.1,666.4,649.05,651,650.1,"1,057.40",415.35,"22,05,579","1,43,38,51,807.05",-
04-May-09,EQ,631,699.6,630.15,623.6,658,666.4,672.8,"1,057.40",415.35,"27,85,734","1,87,42,55,394.20",-
29-Apr-09,EQ,602,629,602,598.5,622.1,623.6,616.46,"1,057.40",415.35,"26,32,823","1,62,30,17,086.45",-
28-Apr-09,EQ,599.1,607.85,576.35,601.9,599.5,598.5,598.51,"1,057.40",415.35,"20,97,173","1,25,51,79,773.75",-
27-Apr-09,EQ,583.85,608.8,572.5,583.9,603.1,601.9,593.8,"1,057.40",415.35,"20,35,281","1,20,85,59,961.80",-
24-Apr-09,EQ,559.95,587,559.95,568.1,584.75,583.9,575.89,"1,057.40",415.35,"13,44,381","77,42,11,837.25",-
23-Apr-09,EQ,549.5,572.85,545.2,542.95,570.2,568.1,559.92,"1,057.40",415.35,"18,43,428","1,03,21,76,287.00",-
22-Apr-09,EQ,560,564.6,537.15,550.75,545.6,542.95,547.88,"1,057.40",415.35,"16,46,231","90,19,30,882.85",-
21-Apr-09,EQ,579.6,588.5,545,561.4,545.9,550.75,559.55,"1,057.40",415.35,"28,72,245","1,60,71,62,489.40",-
20-Apr-09,EQ,552.75,581.8,552.75,573.1,559.85,561.4,566.66,"1,057.40",415.35,"13,32,550","75,51,01,399.95",-
17-Apr-09,EQ,576.8,599.5,565.1,572.05,571.95,573.1,583.69,"1,057.40",415.35,"16,66,006","97,24,24,660.95",-
16-Apr-09,EQ,580,589,567.2,577.7,571,572.05,576.46,"1,057.40",415.35,"22,17,241","1,27,81,46,686.75",-
15-Apr-09,EQ,551.55,581.8,550.05,592.25,580,577.7,570.49,"1,057.40",415.35,"24,41,809","1,39,30,33,938.10",-
13-Apr-09,EQ,604.5,609,575.2,602.55,592,592.25,590.71,"1,057.40",415.35,"10,30,252","60,85,77,844.55",-
09-Apr-09,EQ,612,619.9,594.25,604.15,606,602.55,605.85,"1,057.40",415.35,"16,46,681","99,76,45,261.15",-
08-Apr-09,EQ,585.1,613.7,561,579.55,600.1,604.15,582.93,"1,057.40",415.35,"25,48,378","1,48,55,36,133.15",-
06-Apr-09,EQ,584.8,594,575.7,578.75,583,579.55,582.96,"1,057.40",415.35,"13,53,645","78,91,23,800.00",-
02-Apr-09,EQ,545.65,587,545.65,544.5,573,578.75,576.81,"1,057.40",415.35,"21,25,941","1,22,62,56,558.15",-
01-Apr-09,EQ,536,553.8,520.5,538.55,544,544.5,539.37,"1,057.40",415.35,"16,81,142","90,67,57,161.15",-
31-Mar-09,EQ,525,543.9,525,523.25,535,538.55,535.46,"1,057.40",415.35,"11,94,418","63,95,60,277.30",-
30-Mar-09,EQ,533.75,570,518,574.85,525.05,523.25,533.48,"1,057.40",415.35,"12,87,047","68,66,08,295.30",-
27-Mar-09,EQ,536.65,585,536.65,558.45,574.45,574.85,559.33,"1,057.40",415.35,"17,69,856","98,99,33,429.95",-
26-Mar-09,EQ,512.65,577.95,512.65,526,550,558.45,553.04,"1,057.40",415.35,"38,07,582","2,10,57,26,278.50",-
25-Mar-09,EQ,503.65,529.9,503.65,521.65,526.1,526,524.95,"1,057.40",415.35,"9,57,904","50,28,55,916.00",-
24-Mar-09,EQ,522.2,532.5,512.2,519.65,515.85,521.65,526.11,"1,057.40",415.35,"16,70,386","87,88,08,361.90",-
23-Mar-09,EQ,524.5,529.6,511,509.8,519.8,519.65,521.82,"1,057.40",415.35,"11,46,828","59,84,37,982.90",-
20-Mar-09,EQ,528.9,528.9,505.5,514.95,510.3,509.8,510.78,"1,057.40",415.35,"10,34,845","52,85,76,869.45",-
19-Mar-09,EQ,505.5,518,501.6,505.15,516,514.95,513.76,"1,057.40",415.35,"18,45,646","94,82,20,575.15",-
18-Mar-09,EQ,500,514.5,500,497.55,502,505.15,509.62,"1,057.40",415.35,"16,03,450","81,71,45,397.15",-
17-Mar-09,EQ,515,518,493.05,519.8,495,497.55,502,"1,057.40",415.35,"17,36,543","87,17,37,738.40",-
16-Mar-09,EQ,510,522.8,502.4,506.85,517,519.8,511.41,"1,057.40",415.35,"11,68,224","59,74,37,442.15",-
13-Mar-09,EQ,473.35,510,473.35,477.4,507.25,506.85,495.59,"1,057.40",415.35,"25,49,925","1,26,37,23,142.75",-
12-Mar-09,EQ,461.65,485,461.65,463,471.55,477.4,474.33,"1,057.40",415.35,"21,54,364","1,02,18,73,905.50",-
09-Mar-09,EQ,471.1,480,459,481.7,461.1,463,464.47,"1,057.40",415.35,"11,33,796","52,66,19,107.35",-
06-Mar-09,EQ,460,484.85,457.65,463.2,480,481.7,473.5,"1,057.40",415.35,"14,51,401","68,72,36,365.65",-
05-Mar-09,EQ,464.95,470.9,458,460.55,463,463.2,465,"1,057.40",415.35,"10,71,124","49,80,77,624.05",-
04-Mar-09,EQ,448,464.45,446.2,446.2,462.4,460.55,456.31,"1,057.40",415.35,"8,14,575","37,16,95,838.75",-
03-Mar-09,EQ,452,466,439.35,459.85,446,446.2,452.68,"1,057.40",415.35,"8,90,224","40,29,82,334.20",-
02-Mar-09,EQ,474.1,482,454.8,483.1,455.7,459.85,464.64,"1,057.40",415.35,"9,97,236","46,33,59,352.40",-
27-Feb-09,EQ,482,489,455.25,482.2,484.05,483.1,468.43,"1,057.40",415.35,"16,87,537","79,04,91,405.60",-
26-Feb-09,EQ,481,490.6,477,480.75,486,482.2,483.46,"1,057.40",415.35,"22,02,072","1,06,46,07,679.80",-
25-Feb-09,EQ,470,484.8,470,468.9,483,480.75,476.96,"1,057.40",415.35,"13,79,482","65,79,55,423.25",-
24-Feb-09,EQ,470,475.7,460.5,474.05,467.2,468.9,468.62,"1,057.40",415.35,"11,23,883","52,66,77,536.40",-
20-Feb-09,EQ,486.5,487.5,464.3,489.5,476.3,474.05,473.54,"1,057.40",415.35,"11,92,847","56,48,56,131.30",-
19-Feb-09,EQ,482,492.8,479,480.75,489.9,489.5,485.52,"1,057.40",415.35,"8,69,268","42,20,45,267.40",-
18-Feb-09,EQ,481.35,490.9,477,485.25,480.75,480.75,484.48,"1,057.40",415.35,"6,57,353","31,84,74,491.15",-
17-Feb-09,EQ,496,499.8,480,500.75,486.5,485.25,486.03,"1,057.40",415.35,"7,37,597","35,84,94,636.30",-
16-Feb-09,EQ,507.6,514.95,498,511.2,499,500.75,504.67,"1,057.40",415.35,"6,25,499","31,56,71,633.50",-
13-Feb-09,EQ,510,520,507,509.9,512.5,511.2,512.22,"1,057.40",415.35,"8,14,302","41,71,02,853.50",-
12-Feb-09,EQ,512,515.7,504.1,514.75,511.7,509.9,509.45,"1,057.40",415.35,"7,11,093","36,22,67,076.90",-
11-Feb-09,EQ,518,523,512,524.6,515,514.75,515.3,"1,057.40",415.35,"11,25,683","58,00,69,558.90",-
10-Feb-09,EQ,517,528,511,515,526.5,524.6,518.92,"1,057.40",415.35,"16,97,693","88,09,75,297.90",-
09-Feb-09,EQ,500,523.65,496.65,502.8,520.6,515,506.32,"1,057.40",415.35,"11,48,806","58,16,62,615.95",-
